guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
40b590d3-b037-321a-be25-625d9a720aed;A;Agilent Announces New SureSelect Human All Exon V8;Agilent Technologies Inc. (NYSE: A) today announced the release of SureSelect Human All Exon V8 – a new exome design that provides comprehensive content and up-to-date coverage of protein coding regions from RefSeq, CCDS, and GENCODE. It also covers the TERT promoter and hard-to-capture exons that are omitted by other exomes on the market. The new design is available in three options – routine exome sequencing (Exome v8), clinical research sequencing (v8 Clinical Plus), and translational researc;Wed, 02 Jun 2021 12:00:00 +0000;A_2021-06-02;0.25;0.0
f0adc72c-1cc2-36a1-8c81-95e15edf8133;A;Agilent Presents Thought Leader Award to Professor Chris Elliott;Agilent Technologies Inc. (NYSE: A) today announced that Chris Elliott has received an Agilent Thought Leader Award. Dr. Elliott is Professor of Food Safety in the School of Biological Sciences and founder of the Institute for Global Food Security (IGFS) at Queen’s University Belfast in Northern Ireland. The award recognizes his contributions to the field of food authenticity and the development of novel approaches to the detection of food fraud.;Tue, 01 Jun 2021 12:00:00 +0000;A_2021-06-01;0.8658;0.5423
83ecccdc-82e2-31a4-8eaf-50b7231e6d25;A;"Dow Jones Today Dips, Nasdaq Affirms Technical Support Strengthens; Dick's, Agilient Soar On Earnings";Dick's Sporting Goods spiked into a buy range, Nike paced the Dow Jones today, as stocks staged a mild rebound at Wednesday's open.;Wed, 26 May 2021 14:00:00 +0000;A_2021-05-26;0.0;0.6908
0ea3d9fd-20df-340b-be61-aeb9e1366fb9;A;Agilent (A) Q2 Earnings & Revenues Beat Estimates, Rise Y/Y;Agilent's (A) fiscal second-quarter results benefit from strength across all geographical regions and end-market momentum.;Wed, 26 May 2021 12:27:12 +0000;A_2021-05-26;0.7351;0.0
ef3c42d9-b78a-3f85-b9aa-a180bea17d84;A;Agilent Technologies Inc (A) Q2 2021 Earnings Call Transcript;"Thank you Gabriel, and welcome everyone to Agilent's second quarter conference call for fiscal year 2021.  With me are Mike McMullen, Agilent's President and CEO; and Bob McMahon, Agilent's Senior Vice President and CFO.  Joining in the Q&amp;A after Bob and Mike's comments will be Jacob Thaysen, President of Agilent's Life Science and Applied Markets Group; Sam Raha, President of Agilent's Diagnostics and Genomics Group; and Padraig McDonnell, President of the Agilent CrossLab Group.";Wed, 26 May 2021 00:30:41 +0000;A_2021-05-26;0.6705;0.0
e1975b27-8531-3415-8d0b-2220779dad5b;A;Agilent Technologies (A) Q2 Earnings and Revenues Beat Estimates;Agilent (A) delivered earnings and revenue surprises of 18.29% and 9.91%, respectively, for the quarter ended April 2021. Do the numbers hold clues to what lies ahead for the stock?;Tue, 25 May 2021 21:20:09 +0000;A_2021-05-25;0.128;0.0
221b8de2-df6e-3853-9c6d-0625f29a988f;A;Agilent Reports Second-Quarter Fiscal Year 2021 Financial Results;"Agilent announces second quarter financial results; raises full-year guidance.";Tue, 25 May 2021 20:05:00 +0000;A_2021-05-25;0.0;0.0
fd83c290-9fd2-3e7b-b86f-ce673d48d1a7;A;Agilent (A) to Report Q2 Earnings: What's in the Offing?;Agilent's (A) fiscal second-quarter results are expected to reflect portfolio strength and end-market momentum.;Thu, 20 May 2021 17:37:05 +0000;A_2021-05-20;0.4939;0.0
96d653c0-1780-3979-8c7b-292a967c3e1e;A;Agilent to Present at Jefferies Virtual Healthcare Conference;Agilent to present at Jefferies Virtual Healthcare Conference June 1.;Thu, 20 May 2021 17:12:00 +0000;A_2021-05-20;0.0;0.0
423d6ec0-7811-3de3-8328-4cb9ba9df0d7;A;Agilent Announces Cash Dividend of 19.4 Cents per Share;Agilent announces quarterly dividend.;Wed, 19 May 2021 20:05:00 +0000;A_2021-05-19;0.0;0.296
d55cb8f0-9fe9-37be-81ee-281b0aefc90f;A;Agilent Technologies (A) Earnings Expected to Grow: What to Know Ahead of Next Week's Release;Agilent (A) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.;Tue, 18 May 2021 19:00:07 +0000;A_2021-05-18;0.2263;0.0
1661c455-ad2d-37ad-ab8e-60f4f066b1c5;A;BMO Global Asset Management Announces Cash Distributions for Certain BMO Exchange Traded Funds;BMO Asset Management Inc. today announced the May 2021 cash distributions for BMO Exchange Traded Funds (BMO ETFs) that distribute monthly. Unitholders of record of the BMO ETFs at the close of business on May 27th, 2021 will receive cash distributions payable on June 2nd, 2021.;Tue, 18 May 2021 12:30:00 +0000;A_2021-05-18;0.3612;0.5574
cf1534bc-c651-3a5a-8fe5-feccbc61f902;A;Will Baidu's (BIDU) Q1 Earnings Benefit From iQIYI Momentum?;Baidu's (BIDU) first-quarter results are expected to reflect a solid momentum across iQIYI's content portfolio.;Thu, 13 May 2021 16:29:04 +0000;A_2021-05-13;0.1531;0.4588
8523ff97-92d7-3678-bf34-40d042333313;A;Lumentum (LITE) Q3 Earnings & Revenues Lag Estimates;Lumentum Holdings' (LITE) third-quarter fiscal 2021 results were negatively impacted by 5G deployment delays in China.;Thu, 13 May 2021 13:44:01 +0000;A_2021-05-13;0.0;-0.34
5a27c3c6-ca63-3c3b-b014-d87d5255557e;A;Wix.com (WIX) Q1 Loss Narrower Than Estimates, Revenues Up Y/Y;Wix.com's (WIX) Q1 results benefit from momentum in Creative Subscriptions and Business Solutions revenues. Higher investments in Customer Care organization expansion dents profitability.;Wed, 12 May 2021 14:49:02 +0000;A_2021-05-12;0.8979;-0.3182
ce03a931-b461-3084-9ec2-13e8653a0582;A;Model N (MODN) Tops Q2 Earnings & Revenue Estimates, Ups View;Model N's (MODN) Q2 results benefit from robust adoption of revenue management solutions. The acquisition of Deloitte's Business Services unit contributes to the top line.;Tue, 11 May 2021 17:53:05 +0000;A_2021-05-11;0.7845;0.5106
6bcc17ea-aa95-3bfc-aef1-c0115e465b80;A;Scientific Games (SGMS) Q1 Loss Narrows Y/Y, Revenues Rise;Scientific Games' (SGMS) first-quarter 2021 results reflect steady growth in Lottery, SciPlay and Digital businesses, partially offset by decreased Gaming revenues.;Tue, 11 May 2021 15:00:03 +0000;A_2021-05-11;0.3818;-0.3182
d7a02e1d-62bd-3f2f-9133-809d8728fa05;A;Was The Smart Money Right About Agilent Technologies (A)?;Our extensive research has shown that imitating the smart money can generate significant returns for retail investors, which is why we track nearly 900 active prominent money managers and analyze their quarterly 13F filings. The stocks that are heavily bought by hedge funds historically outperformed the market, though there is no shortage of high profile […];Mon, 10 May 2021 18:44:23 +0000;A_2021-05-10;0.6486;0.4019
76365709-567e-3ee2-a2a4-ed7f6fa39dec;A;What's in Store for Jumia Technologies (JMIA) in Q1 Earnings?;Jumia Technologies' (JMIA) first-quarter results are expected to reflect strength across its e-commerce business and JumiaPay.;Mon, 10 May 2021 16:01:04 +0000;A_2021-05-10;0.4939;0.0
7a21fd39-0bac-3ac1-adc8-47580630e046;A;Dynatrace (DT) to Report Q4 Earnings: What's in the Cards?;Dynatrace's (DT) fiscal fourth-quarter 2021 results are expected to reflect robust adoption of its APM solutions, expansion of clientele and product portfolio, and a strong recurring revenue base.;Mon, 10 May 2021 14:22:02 +0000;A_2021-05-10;0.7506;0.0
08c2d404-0dc5-3082-801f-2a62d12127d8;L;Colonial Pipeline Paid Hackers Nearly $5 Million in Ransom;(Bloomberg) -- Colonial Pipeline Co. paid nearly $5 million to Eastern European hackers on Friday, contradicting reports earlier this week that the company had no intention of paying an extortion fee to help restore the country’s largest fuel pipeline, according to two people familiar with the transaction.The company paid the hefty ransom in difficult-to-trace cryptocurrency within hours after the attack, underscoring the immense pressure faced by the Georgia-based operator to get gasoline and jet fuel flowing again to major cities along the Eastern Seaboard, those people said. A third person familiar with the situation said U.S. government officials are aware that Colonial made the payment.Once they received the payment, the hackers provided the operator with a decrypting tool to restore its disabled computer network. The tool was so slow that the company continued using its own backups to help restore the system, one of the people familiar with the company’s efforts said.A representative from Colonial declined to comment. Colonial said it began to resume fuel shipments around 5 p.m. Eastern time Wednesday.When Bloomberg News asked President Joe Biden if he was briefed on the company’s ransom payment, the president paused, then said: “I have no comment on that.”The hackers, which the FBI said are linked to a group called DarkSide, specialize in digital extortion and are believed to be located in Russia or Eastern Europe.On Wednesday, media outlets including the Washington Post and Reuters, also based on anonymous sources, reported that the company had no immediate intention of paying the ransom.Ransomware is a type of malware that locks up a victim’s files, which the attackers promise to unlock for a payment. More recently, some ransomware groups have also stolen victims’ data and threatened to release it unless paid -- a kind of double extortion.The FBI discourages organizations from paying ransom to hackers, saying there is no guarantee they will follow through on promises to unlock files. It also provides incentive to other would-be hackers, the agency says.However, Anne Neuberger, the White House’s top cybersecurity official, pointedly declined to say whether companies should pay cyber ransoms at a briefing earlier this week. “We recognize, though, that companies are often in a difficult position if their data is encrypted and they do not have backups and cannot recover the data,” she told reporters Monday.Such guidance provides a quandary for victims who have to weigh the risks of not paying with the costs of lost or exposed records. The reality is that many choose to pay, in part because the costs may be covered if they have cyber-insurance policies.“They had to pay,” said Ondrej Krehel, chief executive officer and founder of digital forensics firm LIFARS and a former cyber expert at Loews Corp., which owns Boardwalk Pipeline. “This is a cyber cancer. You want to die or you want to live? It’s not a situation where you can wait.”Krehel said a $5 million ransom for a pipeline was “very low.” “Ransom is usually around $25 million to $35 million for such a company. I think the threat actor realized they stepped on the wrong company and triggered a massive government response,” he said.A report released last month by a ransomware task force said the amount paid by victims increased by 311% in 2020, reaching about $350 million in cryptocurrency. The average ransom paid by organizations in 2020 was $312,493, according to report.Colonial, which operates the largest fuel pipeline in the U.S., became aware of the hack around May 7 and shut down its operations, which led to fuel shortages and lines at gas stations along the East Coast.(Updates with comment from President Biden in fifth paragraph.)For more articles like this, please visit us at bloomberg.comSubscribe now to stay ahead with the most trusted business news source.©2021 Bloomberg L.P.;Thu, 13 May 2021 23:01:07 +0000;L_2021-05-13;-0.9709;0.0
d5ba04b8-3176-397b-8dbf-a40f076aa2ff;L;Key Takeaways From Loews' 1st-Quarter Results;The conglomerate bought back 5.6 million shares during the quarter;Tue, 04 May 2021 16:22:20 +0000;L_2021-05-04;0.296;0.0
a2b9c46a-8bdd-30c3-a024-5d48f74c985e;L;Most Shareholders Will Probably Agree With Loews Corporation's (NYSE:L) CEO Compensation;Shareholders may be wondering what CEO James Tisch plans to do to improve the less than great performance at Loews...;Tue, 04 May 2021 11:56:55 +0000;L_2021-05-04;0.7732;0.3612
fa4a47b6-672d-30a7-a59c-1d4743f782e1;L;Loews Corp (L) Q1 2021 Earnings Call Transcript;Image source: The Motley Fool.  Loews Corp (NYSE: L)Q1 2021 Earnings CallMay 3, 2021, 10:00 a.m. ETContents:  Prepared Remarks Questions and Answers Call Participants  Prepared Remarks: OperatorGood day, and thank you for standing by.;Mon, 03 May 2021 18:00:39 +0000;L_2021-05-03;0.34;0.0
ddd3185b-c4f7-370a-b921-41a55887da69;L;Loews Corp. to Host Earnings Call;NEW YORK, NY / ACCESSWIRE / May 3, 2021 / Loews Corp. (NYSE:L) will be discussing their earnings results in their 2021 First Quarter Earnings call to be held on May 3, 2021 at 10:00 AM Eastern Time.;Mon, 03 May 2021 11:45:00 +0000;L_2021-05-03;0.0;0.0
9f8b4225-131f-33ec-84e8-2855be11e5b0;L;Loews Corporation Reports Net Income Of $261 Million For The First Quarter Of 2021;Loews Corporation (NYSE:L) today reported net income of $261 million, or $0.97 per share, for the first quarter of 2021 compared to a net loss of $632 million, or $2.20 per share, in the first quarter of 2020.;Mon, 03 May 2021 10:00:00 +0000;L_2021-05-03;0.2732;0.0
83f91e02-b609-3aa2-a841-5ed47921ec10;L;Loews Corporation to Release First Quarter 2021 Results on May 3, 2021;Loews Corporation (NYSE: L) will report first quarter 2021 financial results on Monday, May 3, 2021. The conference call for investors will begin at 10:00 a.m. ET and will be hosted by the Company's chief executive officer, James S. Tisch, and chief financial officer, David B. Edelson.;Tue, 20 Apr 2021 14:00:00 +0000;L_2021-04-20;0.0;0.0
93908ca8-51e8-31a0-ba06-7ccbcd142e44;L;Loews Corporation -- Moody's affirms Loews Corporation's A3 senior unsecured rating;"Rating Action: Moody's affirms Loews Corporation's A3 senior unsecured ratingGlobal Credit Research - 12 Mar 2021New York, March 12, 2021 -- Moody's Investors Service, (""Moody's"") affirmed Loews Corporation's (Loews) senior unsecured rating at A3.  This rating action follows the recent affirmation of CNA Financial Corporation's (CNA) senior unsecured rating of Baa2 and stable outlook.  Loews owns approximately 90% of CNA's common stock outstanding and CNA is Loews' largest operating subsidiary.";Fri, 12 Mar 2021 19:32:07 +0000;L_2021-03-12;0.25;-0.3818
093011c9-ea0e-3968-9b3e-307607577f1d;L;Loews Corporation Adds GIC as Partner in its Packaging Subsidiary;Loews Corporation (NYSE: L) announced today that it has entered into a definitive agreement to sell 47% of Altium Packaging, a leading rigid plastic packaging and recycled resin company, to GIC, Singapore's sovereign wealth fund. The transaction is expected to close in the next 30 days.;Fri, 12 Mar 2021 13:10:00 +0000;L_2021-03-12;0.7096;0.0
cdc12378-73a1-317a-9974-b2b290fda21b;L;Did You Miss Loews' (NYSE:L) 35% Share Price Gain?;When you buy and hold a stock for the long term, you definitely want it to provide a positive return. Better yet, you'd...;Thu, 25 Feb 2021 07:10:28 +0000;L_2021-02-25;0.8591;0.6124
